,id,commA,commB,Files,labels
0,1,002f206f,a73cdd21,"['cache.h', 'sha1_file.c']",1
1,2,0041bf65,ef1e7406,['builtin/name-rev.c'],0
2,3,0196c75e,1958a17f,"['archive.c', 'builtin/blame.c', 'builtin/reset.c', 'builtin/update-index.c', 'combine-diff.c', 'notes-merge.c', 'pathspec.c', 'pathspec.h', 'revision.c', 'tree-diff.c']",1
3,6,02a8cfa4,c6c9e188,"['builtin/merge.c', 'compat/nedmalloc/nedmalloc.c']",0
4,9,053e2fb5,4966b58f,"['builtin/commit.c', 'builtin/reset.c', 'commit.c', 'commit.h', 'pretty.c', 'sequencer.c']",0
5,11,067622b0,4633a846,"['refs/files-backend.c', 'refs/refs-internal.h']",0
6,12,06c0ed7b,f56a4390,"['cache.h', 'git-compat-util.h', 'wrapper.c']",1
7,15,077be78d,bbbb7de7,"['path.c', 'submodule.c', 'submodule.h']",0
8,16,079aa97e,cccf74e2,"['builtin/fetch-pack.c', 'builtin/fetch.c', 'fetch-pack.c', 'fetch-pack.h', 'remote-curl.c', 'transport-helper.c', 'transport.c', 'transport.h', 'upload-pack.c']",0
9,17,07af8891,6a97da39,['daemon.c'],2
10,22,0a3f07d6,e9dcc305,['refs/files-backend.c'],0
11,23,0bb80ab0,0a4ae91d,['builtin/blame.c'],0
12,24,0c1138cb,dbd23433,['builtin/apply.c'],4
13,26,0d8a814d,17eff96b,"['refs.c', 'refs.h']",0
14,27,0ef8e169,2c1eb104,"['dir.c', 'dir.h', 'unpack-trees.c']",1
15,30,0fe5043d,2880d16f,"['refs/files-backend.c', 'refs/refs-internal.h']",1
16,31,10a9ddba,1ffec303,['builtin/apply.c'],0
17,32,110bdbdd,a9508a13,['builtin/blame.c'],0
18,34,11f4eb19,95235f5b,['builtin/log.c'],0
19,35,126c9e05,378dc910,['refs.c'],0
20,36,12cd0bf9,6f52b741,['dir.c'],0
21,37,12fd3496,3a8af7be,"['refs/files-backend.c', 'refs/refs-internal.h']",0
22,39,13af774e,14af79b9,"['cache.h', 'dir.c', 'dir.h', 'wrapper.c']",1
23,41,161fcbe9,8bcba3d0,['builtin/apply.c'],0
24,43,16f9b4cd,f75619bd,"['hashmap.c', 'hashmap.h']",0
25,44,17966c0a,94e99012,['http-walker.c'],0
26,45,17eff96b,fa099d23,"['branch.c', 't/helper/test-ref-store.c', 'worktree.c', 'worktree.h']",0
27,46,18547aac,3d5b23a3,['diffcore-pickaxe.c'],1
28,47,18d0002d,7d2df051,"['refs.c', 'refs.h', 'refs/files-backend.c', 'refs/refs-internal.h']",1
29,48,18f3ce88,b32d7c52,['builtin/merge.c'],0
30,50,1a5f1a3f,11b53957,"['builtin/submodule--helper.c', 'submodule-config.c', 'submodule-config.h']",0
31,51,1aa40df6,a58a1b01,"['builtin/am.c', 'builtin/checkout.c', 'revision.c', 'revision.h']",1
32,53,1b8132d9,c97268c8,"['builtin/notes.c', 'cache.h', 'config.c', 'submodule-config.c']",1
33,55,1d77bed8,ed0f7bde,"['gpg-interface.c', 'run-command.c', 'run-command.h']",0
34,56,1e0c3b68,ac3f5a34,"['builtin/branch.c', 'builtin/for-each-ref.c', 'builtin/tag.c', 'parse-options.h', 'ref-filter.c', 'ref-filter.h']",0
35,57,1e4085a0,8eb94600,['http-push.c'],0
36,59,1e4bf907,e25a4ded,"['builtin/am.c', 'builtin/log.c', 'builtin/mailsplit.c', 'commit.h', 'log-tree.c', 'pretty.c']",0
37,60,1eab194b,33dfb9f3,['refs/files-backend.c'],0
38,61,1eb47f16,189d035e,"['builtin/checkout.c', 'builtin/mv.c', 'pretty.c', 'transport.c']",2
39,62,1ecdecce,24959bad,['wt-status.c'],0
40,63,1f5d429e,c8b080af,"['builtin/add.c', 'builtin/checkout.c', 'builtin/commit.c', 'cache.h', 'read-cache.c']",0
41,65,1fc458d9,25804914,['builtin/read-tree.c'],3
42,66,1ffec303,d7263d09,['builtin/apply.c'],4
43,67,202275b9,6e3c1595,"['submodule.c', 'submodule.h']",0
44,68,207a06ce,0ef8e169,['dir.c'],1
45,72,227307a6,a42e1b41,"['builtin.h', 'builtin/rev-parse.c', 'git.c', 'sequencer.c']",0
46,73,22a72335,ee87a6e7,['builtin/apply.c'],2
47,74,24959bad,d9fc746c,"['builtin/commit.c', 'wt-status.c', 'wt-status.h']",1
48,75,24c8407e,9476c6ed,['refs.c'],2
49,76,252ef8fe,bb622de8,['ident.c'],1
50,78,269a7a83,a45a2600,"['builtin/fetch-pack.c', 'builtin/fetch.c', 'fetch-pack.c', 'fetch-pack.h', 'remote-curl.c', 'transport-helper.c', 'transport.c', 'transport.h']",0
51,80,2880d16f,bf0c6603,"['builtin/fetch.c', 'builtin/remote.c', 'refs.c', 'refs.h', 'refs/files-backend.c', 'refs/refs-internal.h']",1
52,84,2997178e,079aa97e,"['object.h', 'upload-pack.c']",0
53,85,29e54b01,bf523da2,['builtin/apply.c'],1
54,89,2b6456b8,3d55eea8,['builtin/am.c'],0
55,90,2b70e88d,fba92be8,"['dir.c', 'dir.h', 'unpack-trees.c']",1
56,92,2c1eb104,0d32c183,"['builtin/add.c', 'builtin/clean.c', 'builtin/grep.c', 'builtin/ls-files.c', 'dir.c', 'dir.h', 'wt-status.c']",0
57,93,2c5e2865,f4d3af18,"['builtin/pack-objects.c', 'builtin/receive-pack.c', 'bulk-checkin.c', 'fast-import.c', 'pack-write.c', 'pack.h', 'send-pack.c']",0
58,94,2c608e0f,ad2d7776,"['builtin/cat-file.c', 'builtin/fsck.c', 'builtin/index-pack.c', 'builtin/pack-objects.c', 'cache.h', 'pack-check.c', 'pack.h', 'sha1_file.c']",1
59,96,2d646e3e,5938454c,"['builtin/gc.c', 'builtin/receive-pack.c', 'daemon.c', 'fetch-pack.c', 'git-compat-util.h', 'ident.c', 'wrapper.c']",0
60,98,2e477d8d,f9d7abec,"['read-cache.c', 'split-index.c', 'split-index.h']",0
61,99,2e5d6503,c48f4b37,"['builtin/config.c', 'builtin/ls-files.c', 'cache.h', 'config.c']",0
62,100,2eb80bcd,f9b11147,['builtin/pull.c'],1
63,101,2eed2780,ffeef642,['refs/files-backend.c'],1
64,102,2f63cea9,c84a86c9,['builtin/apply.c'],1
65,104,30b5ae4d,5cae882d,['builtin/apply.c'],0
66,105,31471ba2,b0a61ab2,"['dir.c', 'path.c', 'strbuf.c', 'strbuf.h', 'wt-status.c']",0
67,106,3157c880,002f206f,[],0
68,108,33d66df3,7422ab50,['builtin/tag.c'],0
69,111,389c3289,1676827c,['compat/winansi.c'],1
70,113,39cadeec,566fdaf6,['builtin/fetch.c'],0
71,114,3a8af7be,71564516,"['refs.c', 'refs/refs-internal.h']",0
72,117,3bc581b9,4c4de895,"['refs.c', 'refs/files-backend.c', 'refs/iterator.c', 'refs/refs-internal.h']",0
73,118,3be89f9b,7043c707,"['builtin/clone.c', 'builtin/fetch.c', 'builtin/receive-pack.c', 'connected.c', 'connected.h']",1
74,119,3c78fd80,af95749f,['archive-zip.c'],1
75,121,3cc75c10,9db39797,"['builtin/fsck.c', 'fsck.c', 'fsck.h']",0
76,122,3d75bba2,ef22318c,"['cache.h', 'wrapper.c']",0
77,123,3d9ff4d7,569e554b,['upload-pack.c'],1
78,124,3e7eaed0,bb62e0a9,['builtin/clone.c'],0
79,126,3edcc048,60cf6cd7,"['ref-filter.c', 'ref-filter.h']",0
