Commit A,Commit B,Hit/Dismiss
002f206f,a73cdd21,1
0041bf65,ef1e7406,0
00f27feb,3819fb9a,1
016d66f5,0e6d899f,1
0196c75e,1958a17f,1
023ff39b,a199a7c9,0
027a3b94,40bcf318,1
02962d36,50492f7b,0
029aeeed,c772d1bc,5
02a8cfa4,c6c9e188,0
034667a4,7e71542e,2
03c39b34,08aade70,1
0409e0b6,c72ee44b,0
044fb190,503e2241,1
04e08698,52db4b04,0
053e2fb5,4966b58f,0
054a5aee,3324dd8f,0
05a5869a,17130a70,1
06478dab,64bd31b4,2
066790d7,43ec5509,1
067622b0,4633a846,0
06c0ed7b,f56a4390,1
06dec439,74a7fa44,0
0719f3ee,68353144,0
0767172b,fdba2cde,0
077be78d,bbbb7de7,0
079aa97e,cccf74e2,0
07af8891,6a97da39,2
07e7dbf0,4d5acae0,0
080739ba,2af7da9f,0
08aade70,de61cebd,2
08bb3500,da470981,0
08df31ee,514dea90,0
09667d01,f7935827,0
09bdff29,33ba9c64,0
09fb5356,a026bde1,3
0a3f07d6,e9dcc305,0
0a4ae91d,e1fae930,2
0b65a8db,c42b5d8e,2
0bb80ab0,0a4ae91d,0
0c1138cb,dbd23433,4
0d32c183,5a522142,1
0d8a814d,17eff96b,0
0e6d899f,fa675ebd,0
0ef8e169,2c1eb104,1
0f12c7d4,5f072e00,0
0f3d855e,d9497518,0
0f8e8313,3916adf9,3
0f974e21,34d8f5a8,1
0fb3c4fc,ac8ce18d,0
0fe5043d,2880d16f,1
10a9ddba,1ffec303,0
110bdbdd,a9508a13,0
116fb64e,e4da43b1,0
11f4eb19,95235f5b,0
126c9e05,378dc910,0
12cd0bf9,6f52b741,0
12fd3496,3a8af7be,0
1335d76e,a903e233,1
1354c9b2,665b35ec,0
13af774e,14af79b9,1
14bb40b3,d0d7fed1,1
1524ccdc,419fd786,0
161fcbe9,8bcba3d0,0
16726cfa,77a9745d,0
16d2676c,5d2993b6,0
16f9b4cd,f75619bd,0
17966c0a,94e99012,0
17d6c744,2ee00567,3
17eff96b,fa099d23,0
18547aac,3d5b23a3,1
18a74a09,067622b0,1
18d0002d,7d2df051,1
18f3ce88,b32d7c52,0
19a7f24b,46e3d17f,0
19e9542f,9b67c994,0
1a5f1a3f,11b53957,0
1aa40df6,a58a1b01,1
1b614c07,2225e1ea,1
1b8132d9,c97268c8,1
1cd772cc,f9e7d9f8,0
1d77bed8,ed0f7bde,0
1e0c3b68,ac3f5a34,0
1e4085a0,8eb94600,0
1e43ed98,bc83266a,0
1e461c4f,bc9204d4,0
1e4bf907,e25a4ded,0
1e701059,c81539b5,0
1eab194b,33dfb9f3,0
1eb47f16,189d035e,2
1ecdecce,24959bad,0
1f5d429e,c8b080af,0
1f66975d,f4beed60,0
1f6b1afe,0e758ac5,1
1f9e18b7,0d8a814d,0
1fc458d9,25804914,3
1ffec303,d7263d09,4
202275b9,6e3c1595,0
207a06ce,0ef8e169,1
211c61c6,1335d76e,1
218c8837,6fa68ff2,1
2201ee09,b36045c1,0
2225e1ea,dce96c41,1
227307a6,a42e1b41,0
22a72335,ee87a6e7,2
24959bad,d9fc746c,1
24c8407e,9476c6ed,2
252ef8fe,bb622de8,1
25804914,28dc98e3,0
259f22af,377d7ded,0
25c7aeb1,efe47281,1
268ef4d3,951b551d,0
269a7a83,a45a2600,0
2703c22f,2ff30e67,0
2721ce21,05219a12,0
280abfd4,c0071ae5,1
283badc3,05781d37,0
2880d16f,bf0c6603,1
28e1aaa4,3ec80449,0
28f4aee3,f131db9e,3
29493589,ecba1953,3
2997178e,079aa97e,0
29e54b01,bf523da2,1
2a0e6cde,6f8d9bcc,2
2a1bd45b,fba275dc,0
2af7da9f,d751dd11,0
2b6456b8,3d55eea8,0
2b70e88d,fba92be8,1
2bb73ae8,cd82b7a0,0
2c1eb104,0d32c183,0
2c5e2865,f4d3af18,0
2c608e0f,ad2d7776,1
2cb040ba,46e22b70,0
2d646e3e,5938454c,0
2e3926b9,fd9dbdfb,0
2e3a16b2,b3dfeebb,0
2e477d8d,f9d7abec,0
2e5d6503,c48f4b37,0
2eb80bcd,f9b11147,1
2eed2780,ffeef642,1
2f63cea9,c84a86c9,1
2fc0f184,2e3926b9,0
2ff7dff0,e1658495,1
30b5ae4d,5cae882d,0
31471ba2,b0a61ab2,0
3157c880,002f206f,0
31da121f,6a7bcb54,1
32b8c581,2a96d398,0
32c43f59,202275b9,1
3324dd8f,48860819,0
33ba9c64,fa90ab4a,0
33d66df3,7422ab50,0
346ef530,b5f62ebe,0
34d8f5a8,a7d4c49a,1
372b050b,2cfe66a8,0
377d7ded,3be18b47,0
379642bc,94c9b5af,1
37e61153,16f9b4cd,0
37ee680d,3e8b7d3c,0
389c3289,1676827c,1
3916adf9,d9d501b0,3
39cadeec,566fdaf6,0
3a39f61e,8ffc9d26,0
3a8af7be,71564516,0
3ac87030,6b9c38e1,0
3b754eed,0488792d,1
3bc581b9,4c4de895,0
3be89f9b,7043c707,1
3c78fd80,af95749f,1
3c8ede3f,c61b2af7,0
3cc75c10,9db39797,0
3d0a8338,5f359008,0
3d75bba2,ef22318c,0
3d9ff4d7,569e554b,1
3e7eaed0,bb62e0a9,0
3e8e32c3,1e461c4f,0
3e930981,3aca1fc6,0
3edcc048,60cf6cd7,0
3f215b03,12f7526c,0
3f338f43,def480fe,0
3f789719,e294e895,1
4000b402,531788af,0
406621f4,fbd3199a,0
4067a454,cf27c799,1
40bcf318,4d9bc37f,2
412b9a16,6d523a3a,0
41534b62,2b69d311,0
419fd786,610b2337,0
41b3eb4a,df2a6e38,0
41d2716c,99a64e4b,1
42bd6681,7a23f736,0
4322353b,96335bcf,0
4322478a,eee886cf,1
4417df8c,1aa40df6,0
442f6fd3,6ae6a233,0
4473060b,48a96972,0
44dc738a,505ad913,0
44f243d3,346ef530,0
45a3e526,0d789a5b,0
45cbc37c,4b7989b1,0
462cbb41,66409881,0
4633a846,c5f04ddd,0
46ac74b7,ca5c701c,3
46bdfa39,c9672ba4,0
47242cd1,882add13,0
473e3930,e799ed40,1
48a96972,a54e938e,0
48be4c62,a9dbc179,0
4931b02f,8bc095f7,0
493ddea5,62e5e83f,0
49a09e74,740ee055,0
49c58d86,a9b02de8,0
4aa2c475,e2522f2a,1
4b0891ff,257f6f40,0
4cdf3f9d,4d0912a2,1
4d7b0efc,1.80E+10,0
4d7bc52b,6b7728db,1
4d9bc37f,44dc738a,3
4d9c7e6f,54ba5a1a,0
4df7c8a0,65237284,0
4e1b06da,1a0962de,0
4e8161a8,09bdff29,0
4f4458aa,15b4a163,1
4fa66c85,90117bda,1
501d3cd7,5621760f,1
503e2241,bac233f2,0
50492f7b,c0fa44d8,0
504c4d42,f53c5de2,4
505ad913,c4b49683,0
508a285c,dc21164e,0
50b4a780,f7f90e0f,0
50c2d855,f890db83,0
511155db,b643827b,0
51dd3e81,6f27b941,0
5220b758,76180a2b,1
52db4b04,a3503124,2
52debb68,5f30bb4a,0
52fcec75,a5229cc9,0
542aa25d,af4941d4,0
54307ea7,715a51bc,0
54fd3243,dddbad72,1
5580b271,dc72b500,0
55cbe18e,0f3d855e,0
560b0e8f,1eb47f16,0
5621760f,d395745d,1
569e554b,508ea882,1
56dfeb62,dfb7a1b4,0
574f5a59,b8023558,0
57734b4e,0a315bef,0
577dfd03,90a78b83,0
57e0ef0e,1a845a2c,0
57f5d52a,12e0437f,1
57f82f4f,a4dded01,0
58142c09,6d308627,1
5819c2ee,fe0537aa,0
5854b36c,fd4df422,2
59801976,116fb64e,0
599e7a0b,954176c1,1
5a36d00c,ac76fd54,3
5a522142,2e477d8d,0
5a8e7c34,f2214ded,0
5bfc50d6,bfc99b63,0
5c1ebcca,5f4e3bf5,0
5c589a73,3c8ede3f,0
5c896f7c,11f8457f,1
5c9159de,b1ec08fd,1
5cae882d,901f9c6d,1
5caeeb83,793dc676,0
5ce10c0a,ef09036c,0
5ce5f5fa,19e9542f,0
5d0bc90e,244ea1b5,1
5d3206d5,1b7ba794,1
5e5be9e2,878452b9,0
5f072e00,1bd37509,1
5f359008,924b7eb1,0
5f4e3bf5,c2691e2a,3
6.07E+102,1790f4fe,0
6003303a,3f338f43,1
60452a30,949782d8,1
60b091c6,54cc8aca,0
60cf6cd7,f6c64c64,0
610b2337,d1a8460c,0
612c49e9,4fb1c6aa,0
61d4c309,867e40ff,2
627fde10,1f9e18b7,2
6326f199,0719f3ee,1
634d2344,5580b271,0
6362ed0b,40069d6e,1
63641fb0,a63d31b4,0
6395499a,4067a454,0
64093fc0,7013220d,0
64ac39af,406621f4,3
64bd31b4,38124a40,0
65237284,c578a09b,0
654b9a90,cf93982f,0
65e2041e,3f789719,1
66106691,b153d2ae,0
661c3e9b,3d0a8338,2
674d38f5,2f84df2c,0
67b3a5d4,a58a8e3f,1
68353144,984ad9e5,0
683f17ec,3e8e32c3,0
68ab61dd,e92b848c,1
68f3c079,27ac8371,0
695f95ba,415c7dd0,0
6999bc70,77947bbe,1
6a024a24,f7b01d3e,2
6a36e1e7,787a490c,1
6a523d66,a17062cf,1
6b34ce90,702ebbf4,0
6b7728db,9eed4f37,2
6b9114c6,768ededa,0
6b9c38e1,33eacd3f,0
6bc91f23,bc437d10,0
6c0c2bf5,f4c9eaa4,1
6ca4c390,885eefb1,0
6cbc478d,b80f629f,1
6d14eac3,1fc458d9,3
6d308627,080739ba,0
6d41eb68,0196c75e,0
6d43a0ce,41da7111,0
6d523a3a,d426430e,0
6d5badb2,392f6d31,0
6d6a782f,3b75ee93,0
6d8c5454,d15c05a5,0
6e30b2f6,5d9b2de4,0
6e3c1595,d6b12300,0
6ea57703,4d7b0efc,0
6f253057,bc57b9c0,0
6f27b941,1da16e1e,0
6f37eb7d,ace976b2,0
6f52b741,ae520e36,0
6f8d9bcc,b0e098ce,0
702ebbf4,87492cb2,0
70471ed9,b0176ce6,1
7063693d,9ee8f940,0
70fcaef9,dc58c855,0
71564516,165056b2,0
715a51bc,d604176d,0
7171a0b0,fd3e6747,0
71abeb75,bd8f0055,0
71dac5ce,2f63cea9,1
71f35d5c,569aa376,0
721f5f1e,ebdfa294,3
7243f5f3,e9c6b279,0
73bc4b49,349e0c1a,2
73e57aaf,5c639201,0
740ee055,a92ea68f,0
7422ab50,1e43ed98,0
743fba85,aa9136a8,2
75057691,296ab786,3
75676c8c,16726cfa,2
75ec4a6c,b42ca35e,0
7647537e,78849622,0
77023ea3,3157c880,0
7725bebe,63641fb0,0
773e3a2e,ebb1f6fe,0
7758b02b,7e58b816,0
77947bbe,6bc6b6c0,2
77a9745d,c714e45f,0
78bde923,28d67d9a,2
79891cb9,3d9ff4d7,1
799e09e5,4aa2c475,1
79ed43c2,882d49ca,1
7a3ea666,1a5f1a3f,1
7a738b40,1e4bf907,0
7a7d0854,e059388f,0
7ac04f13,4f4458aa,2
7b01ab56,b4e8a847,0
7b35efd7,1cd772cc,0
7b91929b,504c4d42,3
7c8d2b00,aacc5c1a,0
7c9c2f8c,32c43f59,1
7d5a38b6,789b3eff,1
7e71542e,4473060b,3
7eb6e10c,fa262cac,2
7f1b2251,c3027be9,1
7fcbd37f,3f0f6624,0
802de3da,19e02f4f,0
80460f51,92bbe7cc,0
8109984d,508a285c,0
8169d0d0,6e30b2f6,0
81944e9b,a0393a29,0
825b9226,c0c70f7a,1
82f6178a,60452a30,0
834bc47b,3e930981,0
83558686,68f3c079,3
840ed141,a849d36c,0
841caad9,0767172b,0
845eec2b,57415089,4
8465541e,7b232add,3
860a2ebe,9f23e040,0
8624735d,fc6b5f52,2
864033a3,6cbc478d,1
8648eacc,40cfc958,1
8668976b,2a1bd45b,1
867e40ff,01e60a9a,1
873700c9,8bf3b758,1
87cb7997,694c76f5,1
882d49ca,b738396c,0
89b8710f,bb2d8a81,3
8a5ad2ba,6d4960ac,0
8a679de6,92b1551b,1
8a81d5f5,174f9e62,0
8bcba3d0,70e1d53d,0
8c6d1f98,d132b32b,0
8e342255,72ce3ff7,2
8e4571e5,6cbec0da,0
