,Commit A,Commit B,Hit/Dismiss
0,002f206f,a73cdd21,1
1,0041bf65,ef1e7406,0
4,0196c75e,1958a17f,1
6,027a3b94,40bcf318,1
8,029aeeed,c772d1bc,5
9,02a8cfa4,c6c9e188,0
10,034667a4,7e71542e,2
11,03c39b34,08aade70,1
15,053e2fb5,4966b58f,0
19,066790d7,43ec5509,1
20,067622b0,4633a846,0
21,06c0ed7b,f56a4390,1
22,06dec439,74a7fa44,0
24,0767172b,fdba2cde,0
25,077be78d,bbbb7de7,0
26,079aa97e,cccf74e2,0
27,07af8891,6a97da39,2
31,08bb3500,da470981,0
32,08df31ee,514dea90,0
34,09bdff29,33ba9c64,0
35,09fb5356,a026bde1,3
36,0a3f07d6,e9dcc305,0
39,0bb80ab0,0a4ae91d,0
40,0c1138cb,dbd23433,4
41,0d32c183,5a522142,1
42,0d8a814d,17eff96b,0
44,0ef8e169,2c1eb104,1
45,0f12c7d4,5f072e00,0
46,0f3d855e,d9497518,0
50,0fe5043d,2880d16f,1
51,10a9ddba,1ffec303,0
52,110bdbdd,a9508a13,0
53,116fb64e,e4da43b1,0
54,11f4eb19,95235f5b,0
55,126c9e05,378dc910,0
56,12cd0bf9,6f52b741,0
57,12fd3496,3a8af7be,0
58,1335d76e,a903e233,1
60,13af774e,14af79b9,1
61,14bb40b3,d0d7fed1,1
63,161fcbe9,8bcba3d0,0
65,16d2676c,5d2993b6,0
66,16f9b4cd,f75619bd,0
67,17966c0a,94e99012,0
69,17eff96b,fa099d23,0
70,18547aac,3d5b23a3,1
72,18d0002d,7d2df051,1
73,18f3ce88,b32d7c52,0
75,19e9542f,9b67c994,0
76,1a5f1a3f,11b53957,0
77,1aa40df6,a58a1b01,1
78,1b614c07,2225e1ea,1
79,1b8132d9,c97268c8,1
80,1cd772cc,f9e7d9f8,0
81,1d77bed8,ed0f7bde,0
82,1e0c3b68,ac3f5a34,0
83,1e4085a0,8eb94600,0
84,1e43ed98,bc83266a,0
86,1e4bf907,e25a4ded,0
88,1eab194b,33dfb9f3,0
89,1eb47f16,189d035e,2
90,1ecdecce,24959bad,0
91,1f5d429e,c8b080af,0
92,1f66975d,f4beed60,0
95,1fc458d9,25804914,3
96,1ffec303,d7263d09,4
97,202275b9,6e3c1595,0
98,207a06ce,0ef8e169,1
99,211c61c6,1335d76e,1
100,218c8837,6fa68ff2,1
102,2225e1ea,dce96c41,1
103,227307a6,a42e1b41,0
104,22a72335,ee87a6e7,2
105,24959bad,d9fc746c,1
106,24c8407e,9476c6ed,2
107,252ef8fe,bb622de8,1
111,268ef4d3,951b551d,0
